Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
23343831,06/01/2012 06:25:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,LIT Literature Request,Other,10019,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,,06/01/2012 06:55:00 AM,05 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
23345414,06/01/2012 06:25:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST REMOVABLE STICKER,Other,10019,,,,,,,ADDRESS,NEW YORK,,N/A,Closed,,06/01/2012 06:55:00 AM,05 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
23338520,06/01/2012 06:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11218,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,14 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23338649,06/01/2012 06:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST REMOVABLE STICKER,Other,11218,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,14 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23340102,06/01/2012 06:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,LIT Literature Request,Other,11218,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,14 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23342703,06/01/2012 06:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST FLYER E/S,Other,11218,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,14 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23344245,06/01/2012 06:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11218,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,14 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23339494,06/01/2012 06:27:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,10314,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/01/2012 06:55:00 AM,02 STATEN ISLAND,STATEN ISLAND,,,Unspecified,STATEN ISLAND,,,,,,,,,,
23339639,06/01/2012 06:27:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST REMOVABLE STICKER,Other,10314,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/01/2012 06:55:00 AM,02 STATEN ISLAND,STATEN ISLAND,,,Unspecified,STATEN ISLAND,,,,,,,,,,
23343670,06/01/2012 06:27:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,COMPOST GUIDE-LEAVE ON THE LAWN BROCHURE,Other,10314,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/01/2012 06:55:00 AM,02 STATEN ISLAND,STATEN ISLAND,,,Unspecified,STATEN ISLAND,,,,,,,,,,
23344702,06/01/2012 06:27:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,LIT Literature Request,Other,10314,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/01/2012 06:55:00 AM,02 STATEN ISLAND,STATEN ISLAND,,,Unspecified,STATEN ISLAND,,,,,,,,,,
23345091,06/01/2012 06:27:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,10314,,,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,06/01/2012 06:55:00 AM,02 STATEN ISLAND,STATEN ISLAND,,,Unspecified,STATEN ISLAND,,,,,,,,,,
23338908,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,INDOOR COMPOSTING WITH A WORM BIN,Other,11360,,,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,06/01/2012 06:55:00 AM,11 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23339469,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11373,,,,,,,ADDRESS,ELMHURST,,N/A,Closed,,06/01/2012 06:55:00 AM,04 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23343258,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11360,,,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,06/01/2012 06:55:00 AM,11 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23340463,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,"NYC ""COMPOST-URBAN GUIDE""GUIDE",Other,11360,,,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,06/01/2012 06:55:00 AM,11 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23340510,06/01/2012 06:29:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11228,59 BAY 8 STREET,BAY 8 STREET,86 STREET,BENSON AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,11 BROOKLYN,BROOKLYN,981089,161790,Unspecified,BROOKLYN,,,,,,,,40.610751993261474,-74.01138475416263,"(40.610751993261474, -74.01138475416263)"
23341048,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,LIT Literature Request,Other,11373,,,,,,,ADDRESS,ELMHURST,,N/A,Closed,,06/01/2012 06:55:00 AM,04 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23342688,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,COMPOST GUIDE-LEAVE ON THE LAWN BROCHURE,Other,11360,,,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,06/01/2012 06:55:00 AM,11 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23344262,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11373,,,,,,,ADDRESS,ELMHURST,,N/A,Closed,,06/01/2012 06:55:00 AM,04 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23345090,06/01/2012 06:29:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11360,,,,,,,ADDRESS,BAYSIDE,,N/A,Closed,,06/01/2012 06:55:00 AM,11 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23343245,06/01/2012 06:30:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11220,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,07 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23344168,06/01/2012 06:30:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11220,,,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/01/2012 06:55:00 AM,07 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,,,
23345204,06/01/2012 06:31:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,RECYCLING CHECKLIST REMOVABLE STICKER,Other,11413,,,,,,,ADDRESS,SPRINGFIELD GARDENS,,N/A,Closed,,06/01/2012 06:55:00 AM,13 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23342471,06/01/2012 06:31:00 AM,06/06/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,11228,59 BAY 8 STREET,BAY 8 STREET,86 STREET,BENSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/06/2012 12:00:00 PM,11 BROOKLYN,BROOKLYN,981089,161790,Unspecified,BROOKLYN,,,,,,,,40.610751993261474,-74.01138475416263,"(40.610751993261474, -74.01138475416263)"
23343244,06/01/2012 06:31:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11413,,,,,,,ADDRESS,SPRINGFIELD GARDENS,,N/A,Closed,,06/01/2012 06:55:00 AM,13 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23344167,06/01/2012 06:31:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11413,,,,,,,ADDRESS,SPRINGFIELD GARDENS,,N/A,Closed,,06/01/2012 06:55:00 AM,13 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23342543,06/01/2012 06:41:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10470,82 EAST 237 STREET,EAST 237 STREET,NAPIER AVENUE,ONEIDA AVENUE,,,ADDRESS,BRONX,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,12 BRONX,BRONX,1019198,266573,Unspecified,BRONX,,,,,,,,40.898285749731656,-73.87358567938209,"(40.898285749731656, -73.87358567938209)"
23342948,06/01/2012 06:41:00 AM,06/04/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E5 Loose Rubbish,Sidewalk,10457,2191 VALENTINE AVENUE,VALENTINE AVENUE,EAST 181 STREET,EAST 182 STREET,,,ADDRESS,BRONX,,N/A,Closed,,06/04/2012 12:00:00 PM,05 BRONX,BRONX,1012189,250737,Unspecified,BRONX,,,,,,,,40.85484582897536,-73.89900473558376,"(40.85484582897536, -73.89900473558376)"
23345331,06/01/2012 06:42:00 AM,06/06/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10314,,,,,COLLEGE AVENUE,LIVERMORE AVENUE,INTERSECTION,STATEN ISLAND,,DSNY Garage,Closed,,06/06/2012 12:00:00 PM,01 STATEN ISLAND,STATEN ISLAND,946062,165784,Unspecified,STATEN ISLAND,,,,,,,,40.6216329574139,-74.13756154496238,"(40.6216329574139, -74.13756154496238)"
23344853,06/01/2012 06:46:00 AM,06/11/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,11419,,,,,LIBERTY AVENUE,LEFFERTS BOULEVARD,INTERSECTION,SOUTH RICHMOND HILL,,N/A,Closed,,06/11/2012 12:00:00 PM,10 QUEENS,QUEENS,1033013,189339,Unspecified,QUEENS,,,,,,,,40.68623426262027,-73.82417476733417,"(40.68623426262027, -73.82417476733417)"
23343842,06/01/2012 07:04:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Other Enforcement,E10 Obstruction (Street/Sidewalk),Sidewalk,11377,64-01 BROADWAY,BROADWAY,64 STREET,64 STREET,,,ADDRESS,WOODSIDE,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,02 QUEENS,QUEENS,1012361,212435,Unspecified,QUEENS,,,,,,,,40.74971687501099,-73.89854334416461,"(40.74971687501099, -73.89854334416461)"
23338569,06/01/2012 07:14:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11355,HAIGHT STREET,HAIGHT STREET,SANFORD AVENUE,MAPLE AVENUE,,,BLOCKFACE,FLUSHING,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,07 QUEENS,QUEENS,1030258,214031,Unspecified,QUEENS,,,,,,,,40.75402247732234,-73.83393969327389,"(40.75402247732234, -73.83393969327389)"
23339132,06/01/2012 07:16:00 AM,06/16/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E1 Improper Disposal,Sidewalk,11226,1757 NOSTRAND AVENUE,NOSTRAND AVENUE,CLARENDON ROAD,AVENUE D,,,ADDRESS,BROOKLYN,,N/A,Closed,,06/16/2012 12:00:00 PM,17 BROOKLYN,BROOKLYN,998488,173453,Unspecified,BROOKLYN,,,,,,,,40.64275359667213,-73.94869538754378,"(40.64275359667213, -73.94869538754378)"
23342345,06/01/2012 07:16:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11355,,,,,SANFORD AVENUE,COLLEGE POINT BOULEVARD,INTERSECTION,FLUSHING,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,07 QUEENS,QUEENS,1030489,214264,Unspecified,QUEENS,,,,,,,,40.754660796995225,-73.83310432645375,"(40.754660796995225, -73.83310432645375)"
23345652,06/01/2012 07:16:00 AM,06/09/2012 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E1 Improper Disposal,Sidewalk,11378,59-83 60 PLACE,60 PLACE,59 DRIVE,60 AVENUE,,,ADDRESS,MASPETH,,N/A,Closed,,06/09/2012 12:00:00 PM,05 QUEENS,QUEENS,1010677,200470,Unspecified,QUEENS,,,,,,,,40.71688110474581,-73.90466813462622,"(40.71688110474581, -73.90466813462622)"
23342346,06/01/2012 07:20:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11385,,,,,78 AVENUE,WOODHAVEN BOULEVARD,INTERSECTION,RIDGEWOOD,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,05 QUEENS,QUEENS,1023303,196841,Unspecified,QUEENS,,,,,,,,40.70687365108031,-73.85914264605893,"(40.70687365108031, -73.85914264605893)"
23344225,06/01/2012 07:23:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10469,,,,,ASTOR AVENUE,WESTERVELT AVENUE,INTERSECTION,BRONX,,N/A,Closed,,06/01/2012 12:00:00 PM,11 BRONX,BRONX,1028510,252369,Unspecified,BRONX,,,,,,,,40.85925843983613,-73.83999611731733,"(40.85925843983613, -73.83999611731733)"
23341379,06/01/2012 07:24:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10469,ASTOR AVENUE,ASTOR AVENUE,GUNTHER AVENUE,LODOVICK AVENUE,,,BLOCKFACE,BRONX,,N/A,Closed,,06/01/2012 12:00:00 PM,11 BRONX,BRONX,1029418,252271,Unspecified,BRONX,,,,,,,,40.85898486084274,-73.83671428353247,"(40.85898486084274, -73.83671428353247)"
23339479,06/01/2012 07:26:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Litter Basket / Request,10 Litter Basket / Request,Sidewalk,10009,,,,,EAST 9 STREET,1 AVENUE,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,03 MANHATTAN,MANHATTAN,988447,204571,Unspecified,MANHATTAN,,,,,,,,40.72817583258266,-73.98485732105792,"(40.72817583258266, -73.98485732105792)"
23338757,06/01/2012 07:34:00 AM,06/04/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10465,,,,,LAFAYETTE AVENUE,BRUSH AVENUE,INTERSECTION,BRONX,,N/A,Closed,,06/04/2012 12:00:00 PM,10 BRONX,BRONX,1028782,239731,Unspecified,BRONX,,,,,,,,40.8245695119039,-73.83909673620316,"(40.8245695119039, -73.83909673620316)"
23345328,06/01/2012 07:37:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,10017,,,,,TUDOR CITY PLACE,EAST 41 STREET,INTERSECTION,NEW YORK,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,06 MANHATTAN,MANHATTAN,992303,211943,Unspecified,MANHATTAN,,,,,,,,40.74840747477931,-73.97093613806149,"(40.74840747477931, -73.97093613806149)"
23342544,06/01/2012 07:39:00 AM,06/02/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,11219,1565 48 STREET,48 STREET,15 AVENUE,16 AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Closed,,06/02/2012 12:00:00 PM,12 BROOKLYN,BROOKLYN,988195,169577,Unspecified,BROOKLYN,,,,,,,,40.63212536929151,-73.98578701697907,"(40.63212536929151, -73.98578701697907)"
23338508,06/01/2012 07:46:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,BLUE RECYCLING DECAL,Other,11370,,,,,,,ADDRESS,EAST ELMHURST,,N/A,Closed,,06/01/2012 10:39:00 AM,01 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
23341377,06/01/2012 07:46:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Sanitation Condition,12 Dead Animals,Sidewalk,11105,20-33 47 STREET,47 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,ASTORIA,,DSNY Garage,Closed,,06/01/2012 12:00:00 PM,01 QUEENS,QUEENS,1012454,220824,Unspecified,QUEENS,,,,,,,,40.77274221391249,-73.89817249839749,"(40.77274221391249, -73.89817249839749)"
23344161,06/01/2012 07:46:00 AM,06/01/2012 12:00:00 PM,DSNY,Department of Sanitation,Literature Request,GREEN MIXED PAPER DECALS,Other,11370,,,,,,,ADDRESS,EAST ELMHURST,,N/A,Closed,,06/01/2012 10:39:00 AM,01 QUEENS,QUEENS,,,Unspecified,QUEENS,,,,,,,,,,
